# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2534099589
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  ..............  ..............................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.08%  progetto        libOpenGL.so.0.0.0              [.] glVertexPointer
     0.08%  progetto        [kernel.kallsyms]               [k] __fdget_raw
     0.08%  progetto        [kernel.kallsyms]               [k] folio_batch_move_lru
     0.08%  progetto        [kernel.kallsyms]               [k] p4d_offset
     0.08%  progetto        libfreetype.so.6.18.1           [.] 0x00000000000512c0
     0.08%  progetto        [kernel.kallsyms]               [k] process_measurement
     0.08%  progetto        [kernel.kallsyms]               [k] check_heap_object
     0.08%  progetto        liballegro_ttf.so.5.2.9         [.] 0x00000000000029e0
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] radix_tree_lookup
     0.08%  progetto        libxcb.so.1.1.0                 [.] xcb_poll_for_special_event
     0.08%  progetto        [kernel.kallsyms]               [k] psi_task_switch
     0.08%  progetto        [kernel.kallsyms]               [k] do_user_addr_fault
     0.08%  progetto        libc.so.6                       [.] fclose@@GLIBC_2.2.5
     0.08%  progetto        liballegro.so.5.2.9             [.] al_get_bitmap_blend_color
     0.08%  progetto        libfreetype.so.6.18.1           [.] 0x000000000005122c
     0.08%  progetto        [kernel.kallsyms]               [k] exc_page_fault
     0.08%  progetto        liballegro.so.5.2.9             [.] al_ustr_vappendf
     0.08%  progetto        libc.so.6                       [.] _IO_setb
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_fence
     0.08%  progetto        libX11.so.6.4.0                 [.] 0x000000000006989b
     0.08%  progetto        liballegro.so.5.2.9             [.] al_copy_transform
     0.08%  progetto        [kernel.kallsyms]               [k] module_put
     0.08%  progetto        [kernel.kallsyms]               [k] security_inode_getattr
     0.08%  progetto        radeonsi_dri.so                 [.] 0x000000000066d5d0
     0.08%  progetto        radeonsi_dri.so                 [.] 0x0000000000302f90
     0.07%  progetto        [kernel.kallsyms]               [k] _find_next_zero_bit
     0.07%  progetto        [kernel.kallsyms]               [k] call_function_single_prep_ipi
     0.07%  progetto        libLLVM-15.so.1                 [.] llvm::MachineInstr::addRegisterKilled(llvm::Register, llvm::TargetRegisterInfo const*, bool)
     0.07%  progetto        libfreetype.so.6.18.1           [.] 0x00000000000512d8
     0.07%  progetto        libglapi.so.0.0.0               [.] 0x000000000000eca0
     0.07%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000033380
     0.07%  progetto        [kernel.kallsyms]               [k] aa_put_buffer
     0.07%  progetto        [kernel.kallsyms]               [k] perf_event_update_userpage
     0.07%  progetto        [kernel.kallsyms]               [k] delay_halt_mwaitx
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] dma_fence_wait_timeout
     0.07%  progetto        libglapi.so.0.0.0               [.] 0x000000000000eb80
     0.07%  progetto        liballegro.so.5.2.9             [.] al_get_current_transform
     0.07%  progetto        [kernel.kallsyms]               [k] get_cpu_iowait_time_us
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] drm_sched_entity_error
     0.07%  progetto        libglapi.so.0.0.0               [.] _glapi_set_dispatch
     0.07%  progetto        [kernel.kallsyms]               [k] mod_memcg_lruvec_state
     0.07%  progetto        libc.so.6                       [.] _IO_new_file_init_internal
     0.07%  progetto        [vdso]                          [.] __vdso_time
     0.07%  progetto:cs0    libc.so.6                       [.] __GI___ioctl
     0.07%  progetto        [kernel.kallsyms]               [k] hook_file_alloc_security
     0.07%  progetto        libX11.so.6.4.0                 [.] 0x000000000006989f
     0.07%  progetto        radeonsi_dri.so                 [.] 0x000000000092c423
     0.07%  progetto        [kernel.kallsyms]               [k] __smp_call_single_queue
     0.07%  progetto        libc.so.6                       [.] _dl_addr
     0.07%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000050764
     0.07%  progetto        [kernel.kallsyms]               [k] native_sched_clock
     0.07%  progetto        liballegro.so.5.2.9             [.] _al_get_bitmap_display
     0.07%  progetto        [kernel.kallsyms]               [k] inode_permission
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_vm_bo_update
     0.07%  progetto        libc.so.6                       [.] __GI___libc_open
     0.07%  progetto        [kernel.kallsyms]               [k] prepend_copy
